a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficient,a4_coefficients,b1,b2,b3,b1_coefficients,b2_coefficients,b3_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,ETL_thickness3,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,HTL_additives_compounds4,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,HTL_stack_sequence2,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_temperature3,Perovskite_deposition_thermal_annealing_temperature4,Perovskite_deposition_thermal_annealing_temperature5,Perovskite_deposition_thermal_annealing_temperature6,Perovskite_deposition_thermal_annealing_temperature7,Perovskite_deposition_thermal_annealing_temperature8,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,Perovskite_deposition_thermal_annealing_time3,Perovskite_deposition_thermal_annealing_time4,Perovskite_deposition_thermal_annealing_time5,Perovskite_deposition_thermal_annealing_time6,Perovskite_deposition_thermal_annealing_time7,Perovskite_deposition_thermal_annealing_time8,JV_default_PCE
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,253.8,0,0.3,2.7,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,253.8,0,1.5,1.5,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,253.8,0,2.7,0.3,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,0,0,3,0,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,253.8,0,1,2,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,253.8,0,2,1,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
167,0,0,0,1,0,0,0,118.71,0,0,1,0,0,196,0,0,3,0,0,47.86,47.86,0,65,0,0,18,266,0,0,78,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,400,0,253.8,488,0,0,18,0,0,1787.74,0,110,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,0,0,253.8,488,0,0,18,0,0,1787.74,0,110,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,350,0,253.8,488,0,0,18,0,0,1787.74,0,110,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,0,0,3,0,0,47.86,47.86,0,0,0,0,59,253.8,266,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
167,494.5,31.1,0,0.05,0.827,0.123,0,119,0,0,1,0,0,196,253.8,0,0.369,2.631,0,118.71,0,0,25,0,0,253.8,488,0,0,18,78,0,1787.74,0,120,100,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0
167,494.5,31.1,0,0.05,0.827,0.123,0,119,0,0,1,0,0,196,253.8,0,0.369,2.631,0,118.71,0,0,25,0,0,253.8,488,0,0,18,78,0,1787.74,0,150,100,0,0,0,0,0,0,20,30,0,0,0,0,0,0,1
167,494.5,31.1,0,0.05,0.827,0.123,0,119,0,0,1,0,0,196,253.8,0,0.369,2.631,0,118.71,0,0,25,0,0,253.8,488,0,0,18,78,0,1787.74,0,120,100,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0
167,494.5,31.1,0,0.05,0.827,0.123,0,119,0,0,1,0,0,196,253.8,0,0.369,2.631,0,118.71,0,0,25,0,0,253.8,488,0,0,18,78,0,1787.74,0,150,100,0,0,0,0,0,0,20,30,0,0,0,0,0,0,1
167,494.5,31.1,0,0.05,0.827,0.123,0,119,0,0,1,0,0,196,253.8,0,0.369,2.631,0,118.71,0,0,25,0,0,253.8,488,0,0,18,78,0,1787.74,0,150,100,0,0,0,0,0,0,20,30,0,0,0,0,0,0,1
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,144.48,0,0,50,0,0,253.8,488,0,0,18,78,0,1787.74,0,40,60,70,100,0,0,0,0,5,5,5,5,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,144.48,0,0,15,0,0,253.8,488,0,0,18,78,0,1787.74,0,40,60,70,100,0,0,0,0,5,5,5,5,0,0,0,0,0
253,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,100,0,253.8,266,0,0,18,0,0,1787.74,0,170,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
253,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,100,0,253.8,266,0,0,18,0,0,1787.74,0,170,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
