,a1,a2,a1_coefficients,a2_coefficients,a3_coefficient,c1_coefficients,c2_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,JV_default_PCE
0,167.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
1,167.0,0.0,1.0,0.0,0.0,0.3,2.7,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
2,167.0,0.0,1.0,0.0,0.0,1.5,1.5,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
3,167.0,0.0,1.0,0.0,0.0,2.7,0.3,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
4,167.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
5,167.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
6,167.0,0.0,1.0,0.0,0.0,1.0,2.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
7,167.0,0.0,1.0,0.0,0.0,2.0,1.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
8,167.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,65.0,0.0,18.0,266.0,0.0,78.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
9,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,400.0,253.8,488.0,0.0,18.0,0.0,0.0,1787.74,110,0,60.0,0.0,0
10,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,0.0,253.8,488.0,0.0,18.0,0.0,0.0,1787.74,110,0,60.0,0.0,0
11,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,350.0,253.8,488.0,0.0,18.0,0.0,0.0,1787.74,110,0,60.0,0.0,0
12,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,0.0,59.0,253.8,266.0,78.0,86.1,0.0,1787.74,100,0,60.0,0.0,0
13,167.0,494.5,0.05,0.827,0.123,0.369,2.631,118.71,0.0,0.0,25.0,0.0,253.8,488.0,0.0,18.0,78.0,0.0,1787.74,120,100,10.0,40.0,0
